,id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
35,103343,0,A Game of Thrones: The Board Game (Second Edition),2011.0,3.0,6.0,240.0,120.0,240.0,14.0,11938,7.8099,15356,246,589,3232,1929,892,3.5919
36,104162,0,Descent: Journeys in the Dark (Second Edition),2012.0,2.0,5.0,120.0,120.0,120.0,14.0,9702,7.82949,15731,409,611,3613,1835,750,3.176
37,157354,0,Five Tribes,2014.0,2.0,4.0,80.0,40.0,80.0,13.0,7291,7.84675,9970,65,1058,3904,1380,518,2.8764
38,102680,0,Trajan,2011.0,2.0,4.0,90.0,90.0,90.0,12.0,6871,7.84106,8143,143,778,2618,1457,551,3.6334
39,132531,0,Roll for the Galaxy,2014.0,2.0,5.0,45.0,45.0,45.0,13.0,4632,7.92585,6551,51,960,3269,912,348,2.6667
40,521,0,Crokinole,1876.0,2.0,4.0,30.0,30.0,30.0,8.0,6198,7.80539,4250,37,543,2436,1803,470,1.2894
41,144733,0,Russian Railroads,2013.0,2.0,4.0,120.0,90.0,120.0,12.0,5383,7.8579,6134,86,614,1932,1063,470,3.4043
42,126042,0,Nations,2013.0,1.0,5.0,200.0,40.0,200.0,14.0,5546,7.86088,6457,145,678,2413,1129,489,3.4949
43,30549,0,Pandemic,2007.0,2.0,4.0,45.0,45.0,45.0,8.0,43788,7.65991,59298,1088,634,5358,8865,3789,2.4262
44,123260,0,Suburbia,2012.0,1.0,4.0,90.0,90.0,90.0,8.0,9775,7.73519,11757,151,1180,4085,1908,636,2.7469
45,73439,0,Troyes,2010.0,2.0,4.0,90.0,90.0,90.0,12.0,8915,7.73993,9259,141,844,2731,1994,784,3.4515
46,91,0,Paths of Glory,1999.0,2.0,2.0,480.0,480.0,480.0,14.0,3120,8.0381,5554,143,282,1173,1227,529,3.794
47,70149,0,Ora et Labora,2011.0,1.0,4.0,150.0,150.0,150.0,13.0,6054,7.81642,6995,121,902,2772,1225,516,3.8953
48,14105,0,Commands & Colors: Ancients,2006.0,2.0,2.0,60.0,60.0,60.0,12.0,6080,7.82838,7770,213,574,2057,2204,943,2.6914
49,34635,0,Stone Age,2008.0,2.0,4.0,90.0,60.0,90.0,10.0,23492,7.65109,24018,269,1292,5522,5009,2117,2.5083
50,155426,0,Castles of Mad King Ludwig,2014.0,1.0,4.0,90.0,90.0,90.0,13.0,4989,7.85323,7167,63,1078,3579,996,357,2.6695
51,21050,0,Combat Commander: Europe,2006.0,2.0,2.0,180.0,60.0,180.0,12.0,3786,7.94325,5321,120,351,1281,1477,602,3.1993
52,147020,0,Star Realms,2014.0,2.0,2.0,20.0,20.0,20.0,12.0,8821,7.73391,14336,181,317,1663,1787,607,1.9654
53,124361,0,Concordia,2013.0,2.0,5.0,100.0,100.0,100.0,13.0,4665,7.84719,5079,51,684,1918,1015,376,3.1543
54,17133,0,Railways of the World,2005.0,2.0,6.0,120.0,120.0,120.0,10.0,8530,7.71693,8688,232,660,2299,2710,1296,3.0247
55,27833,0,Steam,2009.0,3.0,5.0,90.0,90.0,90.0,10.0,6827,7.7407,7456,176,519,2029,1653,601,3.4493
56,9216,0,Goa,2004.0,2.0,4.0,90.0,90.0,90.0,12.0,8663,7.69691,8357,181,857,2500,2605,1065,3.3897
57,161970,0,Alchemists,2014.0,2.0,4.0,120.0,120.0,120.0,14.0,4065,7.9095,6281,71,585,2582,783,349,3.659
58,43111,0,Chaos in the Old World,2009.0,3.0,4.0,120.0,60.0,120.0,13.0,9049,7.70053,9409,176,644,2742,2137,724,3.1354
59,93260,0,Summoner Wars: Master Set,2011.0,2.0,4.0,30.0,30.0,30.0,9.0,6859,7.75639,9552,320,440,2093,1364,329,2.5015
60,4098,0,Age of Steam,2002.0,1.0,6.0,120.0,120.0,120.0,13.0,6112,7.72862,5670,175,401,1475,2098,843,3.9276
61,555,0,The Princes of Florence,2000.0,2.0,5.0,100.0,75.0,100.0,12.0,12091,7.63383,12640,330,567,1946,3366,1516,3.2559
62,14996,0,Ticket to Ride: Europe,2005.0,2.0,5.0,60.0,30.0,60.0,8.0,25924,7.59427,30385,234,723,3256,5093,2576,1.9674
63,146652,0,Legendary Encounters: An Alien Deck Building Game,2014.0,1.0,5.0,45.0,45.0,45.0,17.0,2829,8.01363,4736,47,529,1748,587,202,2.7079
64,127023,0,Kemet,2012.0,2.0,5.0,120.0,90.0,120.0,13.0,5252,7.77161,6926,108,913,3175,1057,352,2.8949
65,215,0,Tichu,1991.0,3.0,6.0,60.0,60.0,60.0,10.0,8996,7.65161,12663,208,279,1199,2595,826,2.3426
66,148228,0,Splendor,2014.0,2.0,4.0,30.0,30.0,30.0,10.0,13319,7.61012,18077,133,771,3078,2340,975,1.8246
67,39463,0,Cosmic Encounter,2008.0,3.0,5.0,120.0,60.0,120.0,12.0,13647,7.61025,15964,235,1094,4444,3196,937,2.524
68,2511,0,Sherlock Holmes Consulting Detective,1981.0,1.0,8.0,120.0,60.0,120.0,10.0,4175,7.80287,9170,169,604,2282,1105,322,2.795
69,154203,0,Imperial Settlers,2014.0,1.0,4.0,90.0,45.0,90.0,10.0,5222,7.76455,7665,96,909,3385,1039,401,2.7107
70,188,0,Go,-2200.0,2.0,2.0,90.0,90.0,90.0,8.0,9654,7.70531,12784,223,129,1016,2820,1140,3.9491
71,234,0,Hannibal: Rome vs. Carthage,1996.0,2.0,2.0,200.0,40.0,200.0,12.0,3967,7.83611,6285,174,461,1685,1573,527,3.4004
72,77423,0,The Lord of the Rings: The Card Game,2011.0,1.0,2.0,60.0,60.0,60.0,13.0,11174,7.64644,17400,621,353,1705,2548,990,3.0646
73,59294,0,Runewars,2010.0,2.0,4.0,180.0,180.0,180.0,14.0,5439,7.76638,7049,181,544,2355,1223,540,3.7241
74,140620,0,Lewis & Clark,2013.0,1.0,5.0,120.0,120.0,120.0,14.0,5617,7.70408,7291,152,634,2133,1124,422,3.2678
75,43015,0,Hansa Teutonica,2009.0,2.0,5.0,90.0,45.0,90.0,12.0,6717,7.64376,6333,79,592,1862,1648,555,3.1297
76,104006,0,Village,2011.0,2.0,4.0,90.0,60.0,90.0,12.0,9781,7.60413,12054,194,732,2605,1740,727,3.0743
77,38453,0,Space Alert,2008.0,1.0,5.0,30.0,30.0,30.0,12.0,9799,7.60025,12870,345,813,3781,2475,657,2.9041
78,20551,0,Shogun,2006.0,3.0,5.0,150.0,150.0,150.0,12.0,9060,7.61669,8827,233,641,2741,2109,1079,3.3679
79,22545,0,Age of Empires III: The Age of Discovery,2007.0,2.0,5.0,120.0,90.0,120.0,10.0,7944,7.62416,6991,179,536,2076,2322,969,3.1352
80,24181,0,Imperial,2006.0,2.0,6.0,120.0,120.0,120.0,13.0,6557,7.66074,5588,143,475,1632,1867,899,3.5717
81,31627,0,Ticket to Ride: Nordic Countries,2007.0,2.0,3.0,60.0,30.0,60.0,8.0,6147,7.68075,8381,78,617,1909,1368,444,2.0045
82,17392,0,Here I Stand,2006.0,2.0,6.0,360.0,360.0,360.0,12.0,2612,7.95736,3783,78,403,1530,1005,438,4.1142
83,9209,0,Ticket to Ride,2004.0,2.0,5.0,60.0,30.0,60.0,8.0,37146,7.50417,43747,444,665,3595,8145,3692,1.8876
84,97207,0,Dungeon Petz,2011.0,2.0,4.0,90.0,90.0,90.0,13.0,6071,7.6423,8161,126,789,2766,1274,417,3.4844
85,31481,0,Galaxy Trucker,2007.0,2.0,4.0,60.0,60.0,60.0,10.0,16293,7.5095,15786,301,1136,4347,3854,1232,2.3019
86,41114,0,The Resistance,2009.0,5.0,10.0,30.0,30.0,30.0,13.0,18472,7.51173,26937,551,309,2272,3678,1149,1.624
87,10630,0,Memoir '44,2004.0,2.0,2.0,60.0,30.0,60.0,8.0,16400,7.52909,19934,503,762,3217,4921,2011,2.2715
88,54043,0,Jaipur,2009.0,2.0,2.0,30.0,30.0,30.0,12.0,10447,7.54537,14228,118,693,2599,2320,710,1.5704
89,77130,0,Sid Meier's Civilization: The Board Game,2010.0,2.0,4.0,180.0,180.0,180.0,13.0,9362,7.57679,11977,389,462,2545,1859,871,3.8266
90,163412,0,Patchwork,2014.0,2.0,2.0,30.0,15.0,30.0,8.0,3042,7.84324,5075,27,467,1461,578,216,1.7593
91,129437,0,Legendary: A Marvel Deck Building Game,2012.0,1.0,5.0,45.0,45.0,45.0,14.0,7443,7.6399,11033,189,566,2350,1525,513,2.4503
92,127060,0,Bora Bora,2013.0,2.0,4.0,120.0,60.0,120.0,12.0,4662,7.66816,6679,144,496,1519,1082,424,3.7288
93,19857,0,Glory to Rome,2005.0,2.0,5.0,60.0,60.0,60.0,12.0,9499,7.52169,10980,231,867,2748,2662,830,2.9193
94,48726,0,Alien Frontiers,2010.0,2.0,4.0,90.0,90.0,90.0,13.0,9266,7.53118,9237,131,1179,3787,2447,691,2.5572
95,12,0,Ra,1999.0,2.0,5.0,60.0,45.0,60.0,12.0,13720,7.47502,12592,259,678,2399,4081,1613,2.3577
96,7854,0,YINSH,2003.0,2.0,2.0,30.0,30.0,30.0,9.0,4471,7.65777,5207,71,434,1575,1418,484,2.75
97,1,0,Die Macher,1986.0,3.0,5.0,240.0,240.0,240.0,14.0,4215,7.67833,4976,180,482,1461,1705,716,4.3506
98,66589,0,Navegador,2010.0,2.0,5.0,90.0,60.0,90.0,12.0,5186,7.61184,4773,75,586,1639,1194,433,3.0901
99,36932,0,Claustrophobia,2009.0,2.0,2.0,45.0,45.0,45.0,14.0,4588,7.68159,6352,158,604,2599,1215,392,2.4719
100,146439,0,BattleLore (Second Edition),2013.0,2.0,2.0,90.0,90.0,90.0,14.0,1851,8.11344,3423,69,460,1584,426,151,2.7748
101,148949,0,Istanbul,2014.0,2.0,5.0,60.0,40.0,60.0,10.0,5262,7.6166,7096,91,581,1892,996,396,2.5758
102,15985,0,Blood Bowl: Living Rulebook,2004.0,2.0,2.0,120.0,120.0,120.0,12.0,2685,7.88086,2542,19,55,267,534,243,3.1481
103,54138,0,Imperial 2030,2009.0,2.0,6.0,120.0,120.0,120.0,12.0,3279,7.77096,3314,57,403,1137,700,270,3.4926
104,119890,0,Agricola:  All Creatures Big and Small,2012.0,2.0,2.0,30.0,30.0,30.0,13.0,6131,7.5832,10055,134,536,1669,1418,417,2.3525
105,54998,0,Cyclades,2009.0,2.0,5.0,90.0,60.0,90.0,13.0,9094,7.53255,9493,160,901,3457,1986,683,2.8023
106,92828,0,Dixit Odyssey,2011.0,3.0,12.0,30.0,30.0,30.0,8.0,6904,7.56845,9285,47,392,1365,1106,313,1.2684
107,124708,0,Mice and Mystics,2012.0,1.0,4.0,120.0,120.0,120.0,7.0,6961,7.59293,13528,248,993,4343,1579,468,2.6026
108,822,0,Carcassonne,2000.0,2.0,5.0,45.0,30.0,45.0,8.0,52781,7.44251,69550,981,367,3094,11794,5951,1.9501
109,421,0,1830: Railways & Robber Barons,1986.0,2.0,7.0,360.0,180.0,360.0,14.0,2876,7.79247,4108,88,296,869,1093,440,4.1182
110,40692,0,Small World,2009.0,2.0,5.0,80.0,40.0,80.0,8.0,33083,7.4154,40066,828,902,5632,6010,2516,2.3736
111,27708,0,1960: The Making of the President,2007.0,2.0,2.0,90.0,90.0,90.0,12.0,6362,7.56298,6921,236,498,1597,2289,851,3.1927
112,108745,0,Seasons,2012.0,2.0,4.0,60.0,60.0,60.0,14.0,9806,7.49273,12113,230,748,3006,1840,614,2.7476
113,129622,0,Love Letter,2012.0,2.0,4.0,20.0,20.0,20.0,10.0,23682,7.42068,40124,488,202,1629,4759,1820,1.211
114,45315,0,Dungeon Lords,2009.0,2.0,4.0,90.0,90.0,90.0,12.0,9365,7.49085,10101,304,587,2706,2151,804,3.5211
115,171623,0,The Voyages of Marco Polo,2015.0,2.0,4.0,100.0,40.0,100.0,12.0,1902,8.03507,2637,18,508,1623,403,233,3.1845
116,128621,0,Viticulture,2013.0,2.0,6.0,90.0,90.0,90.0,13.0,2872,7.81614,4341,38,634,1712,757,271,2.8819
117,123123,0,BattleCON: Devastation of Indines,2013.0,1.0,5.0,45.0,45.0,45.0,10.0,1365,8.35915,2418,37,300,910,411,110,3.0273
118,39856,0,Dixit,2008.0,3.0,6.0,30.0,30.0,30.0,6.0,22099,7.41665,27631,286,475,2997,4289,1332,1.2695
119,133038,0,Pathfinder Adventure Card Game: Rise of the Runelords  Base Set,2013.0,1.0,4.0,90.0,90.0,90.0,13.0,7070,7.55852,11496,465,355,1842,1559,581,2.7298
120,70323,0,King of Tokyo,2011.0,2.0,6.0,30.0,30.0,30.0,8.0,24727,7.41,33556,463,659,3665,4796,1695,1.5103
121,105134,0,Risk Legacy,2011.0,3.0,5.0,60.0,60.0,60.0,13.0,3976,7.68888,6340,67,328,2028,995,221,2.5701
122,157969,0,Sheriff of Nottingham,2014.0,3.0,5.0,60.0,60.0,60.0,13.0,5277,7.58804,8793,101,623,2761,950,273,1.6667
123,463,0,Magic: The Gathering,1993.0,2.0,2.0,20.0,20.0,20.0,13.0,18599,7.43803,20403,691,161,316,5015,1642,3.1267
124,73171,0,Earth Reborn,2010.0,2.0,4.0,180.0,180.0,180.0,13.0,2590,7.85222,4823,281,376,1740,853,264,3.8636
125,243,0,Advanced Squad Leader,1985.0,2.0,2.0,12000.0,180.0,12000.0,14.0,2628,7.88118,3976,120,94,479,1161,553,4.6763
126,54625,0,Space Hulk (third edition),2009.0,2.0,2.0,60.0,60.0,60.0,12.0,5235,7.60757,7424,207,440,1479,1438,510,2.7863
127,159675,0,Fields of Arle,2014.0,1.0,2.0,120.0,60.0,120.0,14.0,1154,8.40627,2397,19,506,1465,308,129,3.876
128,33160,0,Endeavor,2009.0,3.0,5.0,90.0,90.0,90.0,12.0,7371,7.47547,6164,133,653,1965,1773,697,2.9024
129,40765,0,Clash of Cultures,2012.0,2.0,4.0,240.0,240.0,240.0,14.0,2933,7.74767,3738,54,672,2181,791,270,3.5259
130,59959,0,Letters from Whitechapel,2011.0,2.0,6.0,120.0,120.0,120.0,13.0,5977,7.54587,8254,146,740,2920,1279,402,2.6766
131,3,0,Samurai,1998.0,2.0,4.0,60.0,30.0,60.0,10.0,10620,7.43661,9954,233,612,2228,3016,1297,2.5135
132,147949,0,One Night Ultimate Werewolf,2014.0,3.0,10.0,10.0,10.0,10.0,8.0,5261,7.56356,8225,88,296,1452,1026,297,1.3737
133,760,0,Battle Line,2000.0,2.0,2.0,30.0,30.0,30.0,12.0,10102,7.42213,11919,244,491,1899,3485,1008,1.9028
134,121,0,Dune,1979.0,2.0,6.0,180.0,60.0,180.0,12.0,4105,7.62186,4743,149,665,1868,1630,517,3.4139
135,136888,0,Bruges,2013.0,2.0,4.0,60.0,60.0,60.0,10.0,4758,7.55443,5678,84,750,2141,1101,341,2.7331
136,37046,0,Ghost Stories,2008.0,1.0,4.0,60.0,60.0,60.0,12.0,10871,7.414,13580,247,824,3786,2760,784,2.8839
137,71,0,Civilization,1980.0,2.0,7.0,360.0,360.0,360.0,12.0,5658,7.53434,7451,335,235,708,1868,690,3.6507
138,25292,0,Merchants & Marauders,2010.0,2.0,4.0,180.0,180.0,180.0,13.0,7629,7.46396,9958,217,936,3651,1891,628,3.1815
139,31594,0,In the Year of the Dragon,2007.0,2.0,5.0,100.0,75.0,100.0,12.0,7365,7.43982,6287,98,616,1860,2016,817,3.1273
140,15987,0,Arkham Horror,2005.0,1.0,8.0,240.0,120.0,240.0,12.0,25688,7.41705,31642,1122,480,3770,6644,3285,3.5266
141,25554,0,Notre Dame,2007.0,2.0,5.0,75.0,45.0,75.0,10.0,8917,7.41164,8745,176,614,1761,2346,1028,2.7607
142,63628,0,The Manhattan Project,2012.0,2.0,5.0,120.0,120.0,120.0,13.0,4530,7.55475,5895,123,717,2302,1097,343,2.9446
143,2655,0,Hive,2001.0,2.0,2.0,20.0,20.0,20.0,9.0,16014,7.35745,19825,395,506,2597,4465,1374,2.3493
144,118048,0,Targi,2012.0,2.0,2.0,60.0,60.0,60.0,12.0,3422,7.62096,5285,66,527,1475,706,230,2.3826
145,25021,0,Sekigahara: The Unification of Japan,2011.0,2.0,2.0,180.0,180.0,180.0,12.0,1587,8.03582,2745,33,440,1336,553,191,2.7016
146,102652,0,Sentinels of the Multiverse,2011.0,1.0,5.0,60.0,30.0,60.0,8.0,8101,7.4644,11965,451,320,1643,1989,568,2.4806
147,13122,0,Antiquity,2004.0,2.0,4.0,180.0,120.0,180.0,14.0,1995,7.83926,2173,45,609,1547,778,272,4.2794
148,79828,0,A Few Acres of Snow,2011.0,2.0,2.0,120.0,60.0,120.0,14.0,5271,7.49275,7160,248,567,2206,1444,510,3.0176
149,98778,0,Hanabi,2010.0,2.0,5.0,25.0,25.0,25.0,8.0,15102,7.34435,24051,368,320,1738,2983,981,1.6809
150,5,0,Acquire,1962.0,3.0,6.0,90.0,90.0,90.0,12.0,13428,7.37367,16115,750,469,1912,4554,1488,2.5141
151,83330,0,Mansions of Madness,2011.0,2.0,5.0,120.0,120.0,120.0,13.0,8357,7.45817,12401,290,485,3019,1742,645,3.2326
152,25417,0,BattleLore,2006.0,2.0,2.0,60.0,60.0,60.0,10.0,8244,7.43642,9660,564,363,1624,2679,1268,2.7618
153,54,0,Tikal,1999.0,2.0,4.0,120.0,60.0,120.0,10.0,11909,7.3544,13729,392,531,2023,3173,1290,2.8419
154,136063,0,Forbidden Desert,2013.0,2.0,5.0,45.0,45.0,45.0,10.0,7943,7.41603,14158,230,543,2780,1516,454,2.0352
155,9217,0,Saint Petersburg,2004.0,2.0,4.0,60.0,45.0,60.0,10.0,11268,7.34764,9789,219,519,1672,2929,1315,2.4738
156,40354,0,Maria,2009.0,2.0,3.0,210.0,210.0,210.0,14.0,1549,8.00086,2316,46,345,962,532,182,3.4835
157,155068,0,Arcadia Quest,2014.0,2.0,4.0,60.0,60.0,60.0,13.0,1490,8.11252,3150,20,395,1374,374,116,2.5086
158,21348,0,Ticket to Ride: Mrklin,2006.0,2.0,5.0,60.0,30.0,60.0,8.0,6904,7.42395,8109,147,376,1215,1840,806,2.2444
159,55670,0,Macao,2009.0,2.0,4.0,100.0,50.0,100.0,12.0,5090,7.45896,5539,99,627,1600,1326,449,3.1292
160,21241,0,Neuroshima Hex!,2006.0,2.0,4.0,30.0,30.0,30.0,13.0,7457,7.43348,7278,264,434,2047,1863,673,2.5825
161,70919,0,Takenoko,2011.0,2.0,4.0,45.0,45.0,45.0,8.0,11282,7.36178,16662,167,756,3186,2061,779,1.9756
162,8217,0,San Juan,2004.0,2.0,4.0,60.0,45.0,60.0,10.0,16622,7.31069,17765,396,502,2040,4720,1910,2.2937
163,96913,0,Lancaster,2011.0,2.0,5.0,60.0,60.0,60.0,10.0,3761,7.53508,4039,83,438,1344,865,319,3.0063
164,18833,0,Lord of the Rings: The Confrontation (Deluxe Edition),2005.0,2.0,2.0,30.0,30.0,30.0,14.0,3719,7.54569,4610,134,243,892,1195,402,2.1965
165,13,0,Catan,1995.0,3.0,4.0,90.0,90.0,90.0,10.0,53680,7.34303,73188,1071,391,3201,11798,5996,2.3712
166,712,0,Blood Bowl (Third Edition),1994.0,2.0,2.0,180.0,180.0,180.0,12.0,3918,7.58641,4750,101,178,464,999,352,2.9631
167,100901,0,Flash Point: Fire Rescue,2011.0,1.0,6.0,45.0,45.0,45.0,10.0,9380,7.36197,14703,430,470,2329,2171,610,2.2246
168,90137,0,Blood Bowl: Team Manager  The Card Game,2011.0,2.0,4.0,90.0,90.0,90.0,14.0,6432,7.41711,8397,242,237,1085,1350,496,2.3105
169,19777,0,Indonesia,2005.0,2.0,5.0,240.0,180.0,240.0,14.0,2217,7.71284,1968,20,626,1403,809,335,3.991
170,17226,0,Descent: Journeys in the Dark,2005.0,2.0,5.0,240.0,240.0,240.0,12.0,9599,7.39014,11387,412,338,1699,2683,1223,3.3312
171,2653,0,Survive: Escape from Atlantis!,1982.0,2.0,4.0,60.0,60.0,60.0,8.0,9914,7.35316,14122,305,649,2507,2808,722,1.7175
172,113924,0,Zombicide,2012.0,1.0,6.0,60.0,60.0,60.0,13.0,7425,7.46361,10650,209,466,2391,1365,540,2.5833
173,65781,0,London,2010.0,2.0,4.0,90.0,90.0,90.0,13.0,4941,7.43755,4922,104,415,1304,1277,408,2.8775
174,116998,0,Thunderstone Advance: Towers of Ruin,2012.0,1.0,5.0,90.0,60.0,90.0,12.0,3399,7.58341,5625,190,230,1011,728,206,2.7379
175,66188,0,Fresco,2010.0,2.0,4.0,60.0,60.0,60.0,10.0,7066,7.37719,7954,227,542,1887,1658,530,2.634
176,5404,0,Amun-Re,2003.0,3.0,5.0,90.0,90.0,90.0,12.0,6707,7.38285,6333,196,395,1188,2249,846,3.0686
177,143693,0,Glass Road,2013.0,1.0,4.0,75.0,75.0,75.0,12.0,3695,7.52766,4711,73,632,1857,820,300,2.9167
178,24480,0,The Pillars of the Earth,2006.0,2.0,4.0,120.0,90.0,120.0,12.0,11391,7.32418,12335,281,792,3083,2831,1225,2.8351
179,875,0,Roads & Boats,1999.0,1.0,4.0,240.0,240.0,240.0,14.0,2113,7.73028,2954,68,556,1414,815,290,4.1793
180,97786,0,Small World Underground,2011.0,2.0,5.0,90.0,30.0,90.0,8.0,5388,7.44533,8597,150,421,1664,863,285,2.6035
181,3685,0,Hammer of the Scots,2002.0,2.0,2.0,180.0,120.0,180.0,12.0,3187,7.58914,3982,104,482,1399,1352,446,2.9888
182,146886,0,La Granja,2014.0,1.0,4.0,120.0,90.0,120.0,12.0,1473,7.98137,2530,26,467,1509,378,183,3.541
183,118,0,Modern Art,1992.0,3.0,5.0,45.0,45.0,45.0,10.0,10456,7.31527,10631,350,408,1409,3190,1242,2.3349
184,58421,0,Egizia,2009.0,2.0,4.0,75.0,75.0,75.0,12.0,3824,7.4863,3253,44,498,1182,843,335,2.8358
185,46213,0,Telestrations,2009.0,4.0,8.0,30.0,30.0,30.0,12.0,4019,7.48622,5776,78,175,880,883,196,1.1173
186,3307,0,Wallenstein (first edition),2002.0,3.0,5.0,150.0,150.0,150.0,12.0,3151,7.55854,2538,119,290,798,1213,446,3.3184
187,39683,0,At the Gates of Loyang,2009.0,1.0,4.0,120.0,60.0,120.0,10.0,5924,7.37653,7303,205,551,1733,1730,464,3.1595
